,SKM_old_train_01,SKM_old_train_02,SKM_old_train_03,SKM_old_train_04,SKM_old_train_05,SKM_old_train_06,SKM_old_train_07,SKM_old_train_08,SKM_old_train_09,SKM_old_train_10,SKM_old_train_11,SKM_old_train_12,SKM_old_untr_01,SKM_old_untr_02,SKM_old_untr_03,SKM_old_untr_04,SKM_old_untr_05,SKM_old_untr_06,SKM_old_untr_07,SKM_old_untr_08,SKM_old_untr_09,SKM_old_untr_10,SKM_old_untr_11,SKM_old_untr_12
4HGLSDm,,,,,,,,,,,,,,,,,,,,,,,,
4HOXPACDOX_NADP_,21.597478754704806,11.47297136121047,27.73304843425799,37.543960334702675,15.47975565471697,26.721324741804736,20.657822281868558,33.97917114082179,16.02852373629894,20.98785884919413,17.02476098704043,24.602038157915846,20.045833993221663,7.943947509022422,26.543629966705026,13.94078923709345,13.101391771442222,8.712345939631803,20.622071607453606,25.170057246940384,73.65780704228196,12.727356768314909,13.92206607289022,17.942907016351842
4NPHSULT,,,4.050744788518599,,5.033992066166674,,,,,,,,,,,,,,,,,,,
5ADTSTSTERONESULT,,,,,,,,,,,,,,,,,,,,,,,,
5HLTDL,,,,,,,,,,,,,,,,,,,,,,,,
5HOXINDACTO2OX,,,13.125001476586743,9.021170887698357,7.764823945783218,11.59060538639935,11.450929036448617,11.105031861645653,,,9.214526558224232,15.0047073354618,26.616946149283798,11.401514524831637,8.923724565186935,9.805724274233638,10.32077211749491,39.960003519443774,,9.319331894719719,,,7.662933631871451,16.706107538981307
5HOXINDACTOXm,,,,,,,,,,,,,,,,,,,,,,,,
5HOXINOXDA,,,,,,,,,,,,,,,,,,,,,,,,
5HTRPDOX,,,,,,,,,,,,,,,,,,,,,,,,
5HXKYNDCL,,,,,,,,,,,,,,,,,,,,,,,,
5HXKYNOXDA,,,,,,,,,,,,,,,,,,,,,,,,
A_MANASE,,,,,,,,,,,,,,,,,,,,,,,,
A_MANASEly,17.7077983315412,21.317907972477535,25.871950310423752,15.504760122435556,23.78019242253805,16.323362065268793,11.314158063580132,23.100165071386083,19.647947717918946,16.597190741720855,15.14063407724743,17.74594225270944,22.97854051858644,13.452348052930196,9.717592098146612,20.222829490067387,17.508784326305985,21.854920160690337,19.293788924214493,28.801173645665568,12.867588453570079,14.125929965103014,10.157652863446668,18.20319954140616
A4GALTc,,,,,,,,,,,,,,,,,,,,,,,,
A4GALTg,1.6603739128944068,0.5844213334900423,1.1739808619821839,,,,1.1153328833940264,1.2132284201240333,1.2975668949223809,,0.9778456025726133,0.7384388174162636,1.4251705036797226,0.7559883178953745,2.0210022293442598,,,,,,,,,1.2436301968161096
A4GNT1g,,,,,,,,,,,,,,,,,,,,,,,,
A4GNT2g,,,,,,,,,,,,,,,,,,,,,,,,
AACOAT,16.80001873278079,18.463097777979286,23.49476199011022,22.698629758771787,19.535794035169666,18.850921609966313,13.925486172327242,9.535726258060679,25.125613253394285,25.821162775731963,22.1704040162206,13.016147214625075,21.045650724578355,18.3215029497284,30.078606543421067,35.4709114533063,9.725768279350506,42.318432512621996,16.54291126425759,33.08105401895917,24.551669943114906,22.038371544055916,8.564061287567217,15.139460422316413
AACTOOR,,104.6862554190249,,,45.56623934859763,,49.20281166331996,75.71856731727728,121.8614001511114,,,,,,,,44.35578680203697,,,,,,,
AASAD3m,22.417422803704277,44.2390545137493,100.79154261738283,39.902000831695446,25.459001174017523,43.710714396922945,41.7047571305663,45.427640476160015,34.91335438957649,21.9062402517915,39.614470256245035,33.8628408657321,32.10718885935522,22.789761279840484,43.06822207167281,40.87457386675006,26.732212454028204,58.86771158129362,75.6674581080682,24.69663159186941,61.313656661770764,29.221235211486018,44.059838100136595,57.63206652670474
AATAi,,,,,,,,,,,,,,,,,,,,,,,,
ABO1g,1.3026331727677611,0.292791018529125,0.4660034837627673,,,,0.2595707458358442,0.46292709338054955,0.6037448826321977,,0.6224389056870806,0.35973679536971925,0.3537885389763611,0.5546406406912955,0.42400401142550087,,,,,,,,,0.4029337529397548
ABO2g,,,,,,,,,,,,,,,,,,,,,,,,
ABO3g,,,,,,,,,,,,,,,,,,,,,,,,
ABO4g,0.6735444287309047,0.3385780821976049,0.5640154279697062,,,,0.29193358658600044,0.30408462032134237,0.1629077137294712,,0.828630421941381,0.2954350482671269,0.3048603306121246,0.5140286376756557,0.2522408261093108,,,,,,,,,0.3391999287639132
ABO5g,1.976177601498845,0.6313691007267117,1.0300189117324647,,,,0.5515043324217725,0.767011713701895,0.7666525963616696,,1.4510693276284672,0.6551718436368331,0.6586488695884017,1.0686692783669556,0.6762448375347943,,,,,,,,,0.7421336817036687
ABO6g,0.9679682711554433,0.33954000853257627,0.488509405539406,,,,0.5277255829294051,0.39725805012777776,0.7476968362769263,,0.9842865785226333,0.3667619575526837,0.600293972705697,0.7888834188948785,1.1286636630820115,,,,,,,,,0.5118672293978916
ABO7g,0.967968271155443,0.3395400085325769,0.488509405539412,,,,0.5277255829293822,0.39725805012779625,0.7476968362769258,,0.9842865785225822,0.36676195755268404,0.6002939727057532,0.7888834188948802,1.1286636630820017,,,,,,,,,0.5118672293979372
ABO8g,0.8922885744359382,0.6061143742532721,1.0095083900100585,,,,0.7153197585779033,0.9150860442586963,0.495003168119782,,0.6551310755210293,0.5720659420274544,0.7143765288246883,0.6186325316609318,0.8017288887757945,,,,,,,,,0.36045063604875754
ABO9g,1.010823869276544,0.43513233782293237,0.7914600739932692,,,,0.6120325168065561,0.42622579951405376,0.524758426324586,,1.680654086206179,0.5348890522733482,1.9481961547456315,0.6827019222740862,0.6743079637297719,,,,,,,,,0.9591789373415519
ABTArm,-931.1905936954867,-803.2685417568239,-863.9794672260239,-843.693096783466,-822.566518993313,-930.4765433385844,-877.6232622756643,-884.1356004206191,-867.7747851408905,-857.9789841683054,-897.3803654749471,-883.1468977114586,-859.1517627570009,-900.2195698766376,-816.1854059048593,-888.7638684602563,-879.70573324015,-903.1869245562456,-853.9807424899556,-919.0696347863853,-912.0674113209634,-875.8903460784901,-887.2602754414723,-923.9250154314708
ABTD,152.84920145722208,-108.08477994109712,-347.08908167491364,-305.6104592088015,-157.51048753314626,-231.97359685865374,-111.23327063945626,-118.23189703373185,-267.5426884814945,-287.16958174774413,-269.33663550322086,-311.37731480919905,-395.0501189540092,-117.55619078218716,-266.6729342330942,-244.36273210266796,-181.713139496184,-14.767762555301278,-142.03441326779605,-255.01092716660435,-219.2106616912428,-240.2547592643159,-270.0848481841996,-5.058689303700755
ABUTD,18.448553064422256,33.68002438820341,35.00387214469826,26.02214570990269,30.569271930707266,13.75362887584551,30.42641251211542,39.98909129600177,32.92977135328813,20.765086832723032,10.966097236165298,20.913665697880962,27.876555909003876,29.39178763826222,20.52343336482479,20.388662241513106,20.44220609830682,30.612243835566,37.88988515597771,28.45816488791299,27.31206613274346,16.48747558433436,46.68412855048851,54.68213943513701
ACACT10m,21.204251881119877,8.02083543795339,-34.97954640287311,-4.1232279705286,8.548266800974586,0.4149453980917867,-10.824403748365285,0.511393103512661,-47.41310618398712,-38.35374753057654,-1.1054468162167341,-3.7871760430457453,13.49082814954546,10.23035688753088,-6.963945921173333,-12.516988869708094,9.505393767581056,-19.718507350606533,15.893643918610726,12.951998514378348,-18.38688132611041,-45.918713416622644,-41.7910000896698,-17.50829760452519
ACACT1r,124.04683618551883,170.9416357472439,140.24170808513273,116.46160103196402,116.32484845354341,109.76299929875815,154.43061613318218,120.60251649489393,222.43533445997485,143.4035677351138,79.6625095139017,101.80183871191225,145.8808988827286,126.85106065027644,141.6124695226883,119.76223535413104,123.38410757236176,111.20541020658221,174.53442922640176,80.69531813180285,107.92855909036277,109.65360509248552,138.2125377044487,137.80905447329235
ACACT1rm,505.67424650795226,526.7441078377875,520.9712893872108,626.0925233555253,500.0704568365373,377.31152902733186,528.1082057979373,492.61723654967795,523.1474924465284,627.0865338398961,473.34908682509507,609.9402783238448,676.9418145594927,557.9800578687006,560.0721542278568,527.6163327451018,484.2044882819969,516.6162972489363,650.8356896555199,529.1758713601788,476.65698638960157,527.4190588739425,470.1176369841825,469.77519590996803
ACACT1x,316.8744359640115,289.7264718797306,409.47430993660817,400.9121077536512,336.5137296639411,371.1564568511207,410.7320742622445,389.32930642837215,369.3731058569319,415.3964880136993,346.6841318207684,422.6718474075013,344.5365468858517,333.3058294534788,341.0382478963995,339.911776987465,371.0832645452237,372.74419492752367,312.33342456337755,381.06759936691185,405.91756348260037,391.10612379109097,479.9978718023088,429.53053864446747
ACACT4p,20.957819748800762,15.169636089235016,22.674218754921114,18.07165266712386,18.460023922411523,16.550791871927927,26.665993940826734,62.27510388904904,14.44191272124812,22.16893792318279,17.97272377475728,20.314733091367668,17.57737683044671,10.465337901426148,8.894912658180063,18.10518733525607,41.48178727846437,21.44438990568169,13.460168278828409,8.813439808855094,13.705858219609784,37.16704089160014,29.315131253425616,9.896151434913962
ACACT5p,9.293527830202711,8.940119028370516,19.067981130283446,14.19329834110052,9.101125463446637,7.588107360500103,15.271025392857767,11.06961836346968,19.184680840881374,9.098957073524907,9.546897880557278,13.958707855042826,14.860331653488434,12.128096173993749,14.424914400176228,16.481030344387552,14.295988385892054,11.688781141468422,14.285709269153163,11.870029028607998,21.12664291984573,14.306440513817378,22.58346984607061,16.30979219793943
ACACT6p,5.379406530266453,6.4593257420196375,7.94222297729989,6.00404533174245,12.712458965724194,8.198395760904871,8.01150722064386,8.516608391227866,11.762126835258226,6.1005767808978515,9.81960379402594,7.195508791000568,6.891317595880459,6.378183523045097,12.693398868146293,7.157282609581469,4.547294789404678,7.8460174922419945,6.754553443054802,8.921726218222426,10.510188234290354,5.093297367950324,8.542597979287025,12.259768596962596
ACACT7p,9.230555771947353,8.226998819018261,9.580212386801001,9.735585674482236,6.339396313813052,5.797424061185589,9.500265611119527,8.491238419061377,14.891044772013329,7.251733574404932,10.109450789162654,9.386510441981176,17.457448241823467,9.451504354813803,13.260471663717706,7.2388509481006,29.230065780714796,8.028146066935074,8.711150589461022,7.3758929548374645,12.323805836941661,7.8486155124599275,9.48979566210478,9.622527799207148
ACACT8p,,,,,,,,,,,,,,,,,,,,,,,,
ACACT9p,,,,,,,,,,,,,,,,,,,,,,,,
ACCOAC,42.74366623099919,39.04517535505191,39.73394854096997,29.632934611189597,28.036774282585576,51.15718383341712,54.21182334359597,57.92506025607324,63.72332715281936,58.29503604806768,49.153452916066215,60.76095722947547,127.78995105364868,84.03038094750191,64.2147967008163,65.28653683269118,28.848003172144047,57.02237391386117,37.08732465233571,44.01158376918959,94.68055552181548,63.422608669831526,41.12881280118163,56.71649169402529
ACCOACm,195.91026477647702,160.42992934059626,72.6078250750412,142.33582496834939,105.28472182042825,183.70889396789838,257.78510110039235,218.80738567548678,111.01019600224126,178.63909126906583,111.87964621922664,106.25876744824927,173.9408225815459,192.84707280802942,134.92522337943066,186.73992495815617,149.52189938330162,201.50140374572732,152.72310834862958,117.09386296341583,161.71905421658258,150.61653046476277,133.29763714660925,159.05034823850303
ACCOAL,11.870720055078994,6.908144712501661,6.974395832477306,8.37216049631173,11.458741675381349,15.263348921361679,8.072224481976733,29.328906106956023,9.746053070455904,4.7306884794351065,8.703821171837305,5.937138104588436,7.819377734535777,5.881776159932324,15.221003147241982,11.715507115283831,8.772128481341193,11.787599229988146,9.829577811065906,7.255814369046794,9.60512458998159,18.14166160836809,12.178106121573514,11.533954562358247
ACCOALm,7.221736621353427,4.48636760500253,10.663540375164219,2.462275970479414,4.986658170264361,6.185161804032871,12.175105643621727,17.96550789681155,2.4868897493581272,6.4005237518110025,4.066075507962816,9.322213067787494,5.527955508719357,8.974359205753144,6.74975709466244,4.270892604417416,10.216210677693912,5.884150520005362,2.6178230099501563,3.6745859392951803,4.837906999278979,5.038113888681526,7.071974182908267,11.610481082017186
