,SKM_old_train_01.xml,SKM_old_train_02.xml,SKM_old_train_03.xml,SKM_old_train_04.xml,SKM_old_train_05.xml,SKM_old_train_06.xml,SKM_old_train_07.xml,SKM_old_train_08.xml,SKM_old_train_09.xml,SKM_old_train_10.xml,SKM_old_train_11.xml,SKM_old_train_12.xml,SKM_old_untr_01.xml,SKM_old_untr_02.xml,SKM_old_untr_03.xml,SKM_old_untr_04.xml,SKM_old_untr_05.xml,SKM_old_untr_06.xml,SKM_old_untr_07.xml,SKM_old_untr_08.xml,SKM_old_untr_09.xml,SKM_old_untr_10.xml,SKM_old_untr_11.xml,SKM_old_untr_12.xml
ADPT,0.0,3.277023250650805,0.0,0.0,0.0,0.9654353872664506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0658141036401503e-14,0.0,0.0,0.000129311313237473,13.682065492412946,0.0,0.0,0.0
ADRNCPT1,0.0,0.0,0.536810750978139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536810750978139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRNCPT2,0.0,0.0,0.536810750978139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536810750978139,0.0,-3.1793718862586058e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADSL1,0.00039231843577956484,9.284437851588853,0.11733729743558488,0.0,4.759689205044365,4.58292141120154e-15,0.0,34.835596638446056,3.75591581915215,3.7559158191521305,0.0,14.448864285895812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.999396914401565,50.84266494686122,0.0
ADSL2,0.0003923184357826675,-4.850968886806015e-15,0.11733729743558488,0.0,0.0,0.0,-2.9605947323337506e-16,3.6699537771469636e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.643232888779619e-14
ADSS,0.00039231843577956484,9.284437851588853,0.11733729743558488,0.0,4.759689205044365,4.58292141120154e-15,0.0,34.835596638446056,3.75591581915215,3.7559158191521305,0.0,14.448864285895812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.99939691440156,50.84266494686122,2.643232888779619e-14
AGMTm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.916659776488115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPAT1,3.033292262140039,1.638578473230028,6.941641309086229,4.544179626057787,15.979716689077202,14.226609279292518,3.5602365111643515,4.86276832996393,7.896302334130199,15.015483410540183,2.4359763506307917,18.916436830724564,9.57597261799841,1.9777486383517933,5.117322724395133,15.901623906238413,2.3734910074429005,33.96942443961588,11.504654919215572,16.83565261203744,3.94430452610506e-31,-3.505243931220953e-15,14.226609279292342,14.226609279291855
AGTix,0.0,0.0,0.0,0.0,0.0,4.0904715214301905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.60834319927033e-15,0.0,0.0,0.0,0.0,0.0
AHC,0.0,3.2770232506508163,0.0,0.0,0.0,0.9654353872664505,0.0,0.0,2.4088909879162027e-13,0.00012931131323776354,3.356054433527306,0.0,0.000129311313237557,0.0,0.0,0.0,8.481516715787173,0.0,0.0,0.000129311313237473,13.68206549241317,0.0,1.7763568394002453e-15,8.888764807854093
